name,state
NODE_0000000,"[0.022731990663609942, 0.025796395942286186, 0.042996206493083215, 0.018425265191032044, 0.04811677375616551, 0.021226746663675765, 0.021886663863917723, 0.01725021454936656, 0.017524892444509884, 0.018189301563827996, 0.017226210389554575, 0.0178932884700565, 0.017672644938754152, 0.022718300876998887, 0.017992367915605226, 0.05644488990644324, 0.019999377824231595, 0.0178932884700565, 0.017893288470056484, 0.02217538111911419, 0.26370138994829795, 0.019602871586409207, 0.01777549467154541, 0.01724862298728806, 0.017671925311009078, 0.01748264293214044, 0.01799124213126936, 0.017341177918898505, 0.01747434441382974, 0.09468359887977892, 0.016973199707187157]"
NC_063383.1,"[0.02276916029393466, 0.025828617201516416, 0.043029679024303796, 0.018460744791941486, 0.048139137676234796, 0.0212621550573729, 0.021919515992537133, 0.017283225079329775, 0.017558478219828703, 0.018224325084152483, 0.01725919111408101, 0.017927644178264295, 0.0177066811144367, 0.02275282662438743, 0.018019621323979114, 0.056461838834803504, 0.02003774491370901, 0.017927644178264292, 0.01792764417826428, 0.022209153473979046, 0.2627118745315328, 0.01964095956995662, 0.017800848324131056, 0.017281629801105824, 0.017707986686715416, 0.017516490008304218, 0.0180261132216864, 0.017374675110799587, 0.017507993744265555, 0.09472076619020538, 0.017005634455976512]"
NODE_0000002,"[2.7279733572277595e-92, 1.434766277055833e-88, 1.762455708957442e-66, 5.439326042686177e-99, 3.7454554292747136e-58, 5.89722266523895e-92, 1.1821515885185701e-92, 1.2076630366702134e-98, 1.0059007775162431e-98, 9.926393843917753e-99, 1.82325157675027e-98, 7.929384764217506e-99, 3.105212704979501e-99, 2.1107759070839392e-92, 5.024963529075172e-93, 1.0043785177379756e-47, 7.052055046333341e-93, 7.929384764219756e-99, 7.929384764212092e-99, 9.92475908459995e-93, 1.0, 1.9379747208197954e-99, 4.488064956713535e-84, 1.2084367386557285e-98, 1.945758649017795e-99, 1.8581742244716338e-96, 3.6362745668240653e-99, 2.017090774021151e-96, 8.80834902624655e-99, 3.9145809424443443e-38, 1.4228710411916027e-98]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
